ID,场景,语言,用户意图,客服标准话术,下一步动作,注意事项
CS-ZH-001,首次欢迎,中文,用户首次进入,"欢迎来到 Boss Hiring 官方服务入口。Boss Hiring 是 AI 驱动的人才招聘与企业服务平台，专注为柬埔寨企业和求职者提供招聘需求收集、候选人筛选、面试安排、入职跟进和企业品牌曝光服务。您可以先选择语言，再选择需要的服务。","选择语言","语气专业、清晰，不要过度营销。"
CS-ZH-002,求职引导,中文,用户想找工作,"明白，您现在最重要的是找到合适、稳定、沟通清楚的工作机会。您可以上传已有简历，也可以下载 Boss Hiring 简历模板填写后上传。我们会用 AI 辅助整理摘要和标签，再由顾问人工审核。","我要找工作","不要承诺一定安排工作。"
CS-ZH-003,企业招聘引导,中文,企业想招聘,"明白，企业招聘最怕信息不清、候选人不匹配和沟通成本高。您可以上传 JD，或下载招聘需求模板填写后上传。Boss Hiring 顾问会确认岗位细节和合作规则，再推进候选人筛选。","企业我要招聘","涉及费用时引导顾问确认。"
CS-ZH-004,模板引导,中文,用户没有资料模板,"可以的。您可以下载求职者简历模板或企业招聘需求模板，填写完成后直接上传到本 Bot。系统会记录文件，后续由顾问审核。","下载资料模板","说明支持 Word/PDF/图片。"
CS-ZH-005,Boss来了介绍,中文,用户想了解 Boss来了,"《Boss来了》是 Boss Hiring 的企业访谈与品牌曝光栏目。我们通过老板访谈、企业环境、团队文化和岗位介绍，让企业被更多人才和合作伙伴看见，也帮助求职者理解真实机会。","了解 Boss来了","强调真实、可信、雇主品牌。"
CS-ZH-006,费用咨询,中文,用户问服务费,"企业招聘服务费需要由顾问根据岗位类型、招聘人数、薪资范围、保证期和合作规则确认。建议您先提交招聘需求，顾问会在推荐候选人前把费用和合作规则说明清楚。","联系客服","不要在未确认时给固定价格。"
CS-ZH-007,隐私咨询,中文,用户担心资料安全,"可以理解，招聘资料和联系方式都很敏感。Boss Hiring 不开放完整人才库，也不会把候选人电话、Telegram、WhatsApp 和完整简历直接公开给企业。资料会由顾问审核后按流程推进。","联系客服","强调信息保护，不做绝对化法律承诺。"
CS-ZH-008,AI说明,中文,用户问 AI 怎么用,"Boss Hiring 的 AI 是辅助工具，主要用于简历摘要、人才标签、岗位摘要、信息缺失提醒和初步匹配建议。最终推荐、沟通和面试安排仍由顾问人工确认。","我要找工作","强调 AI 不做最终决策。"
CS-ZH-009,数据存储,中文,用户问资料在哪里看,"用户资料会进入 Boss Hiring 的后台流程。结构化信息建议进入 Google Sheets 或 Airtable，简历、JD、证书等文件进入 Google Drive 归档，内部团队收到提醒后跟进。","联系客服","当前是否已接入后台要按实际系统状态回答。"
CS-ZH-010,求职者提交成功,中文,用户上传简历后,"您的资料已收到。Boss Hiring 顾问会审核文件，并由 AI 辅助整理摘要、标签和缺失项。请保持 Telegram 或电话畅通，有合适岗位时顾问会联系您。","返回主菜单","不要承诺具体联系时间。"
CS-ZH-011,企业提交成功,中文,企业上传 JD 后,"您的招聘需求已收到。Boss Hiring 顾问会尽快联系您，确认岗位细节、候选人条件、福利支持和合作流程。确认合作规则后，我们再推进候选人筛选。","返回主菜单","强调先确认合作规则。"
CS-ZH-012,用户不知道选哪个,中文,用户迷茫,"没关系，我帮您判断。如果您是个人想找工作，选择「我要找工作」；如果您代表企业招聘，选择「企业我要招聘」；如果想做企业采访或品牌曝光，选择「了解 Boss来了」。","返回主菜单","保持耐心。"
CS-ZH-013,官网引导,中文,用户想了解更多,"您可以先访问官网了解 Boss Hiring 的服务模式、团队介绍和《Boss来了》内容。看完后，如果需要提交资料或招聘需求，可以回到 Bot 继续操作。","访问官网 ↗","官网负责建立信任，Bot 负责交互。"
CS-ZH-014,人工客服,中文,用户要求人工,"可以，我会引导您联系 Boss Hiring 顾问。请简单说明您是求职者、企业招聘，还是 Boss来了合作，方便团队更快判断和跟进。","联系客服","不要假装已经有人在线。"
CS-ZH-015,企业催进度,中文,企业问多久推荐,"推荐速度取决于岗位要求、薪资范围、语言要求和候选人储备。顾问确认岗位和合作规则后，会优先筛选匹配度高的候选人。","企业我要招聘","不要承诺固定天数。"
CS-ZH-016,求职者催进度,中文,求职者问多久有工作,"是否有合适机会取决于您的资料完整度、期望岗位、薪资、地点和当前企业需求。建议您确保简历完整，并保持联系方式畅通。","我要找工作","不要承诺一定有岗位。"
CS-ZH-017,候选人联系方式,中文,企业索要联系方式,"候选人联系方式属于敏感信息，不会直接公开。企业确认合作规则后，Boss Hiring 顾问会按流程推进候选人沟通和面试安排。","联系客服","坚持信息保护规则。"
CS-ZH-018,修改资料,中文,用户要补充资料,"可以。您可以重新上传更新后的简历、证书或补充说明，顾问会根据最新资料更新记录。","我要找工作","提示上传最新版本。"
CS-ZH-019,招聘岗位范围,中文,企业问能招什么岗位,"Boss Hiring 可协助招聘客服、销售、运营、行政、人事、财务、市场、助理等岗位。具体推荐效果取决于岗位要求、薪资范围和候选人储备。","企业我要招聘","不要无限承诺所有岗位。"
CS-ZH-020,兜底回复,中文,无法判断用户问题,"收到。我可以帮您处理求职登记、企业招聘、Boss来了合作、资料模板下载和客服咨询。您可以直接告诉我您的身份和需求，我会继续引导下一步。","返回主菜单","兜底要可行动。"
CS-EN-001,Welcome,English,First visit,"Welcome to Boss Hiring. We are an AI-driven talent recruitment and enterprise service platform for Cambodia. Please choose your language and service from the menu.","Choose Language","Keep it concise."
CS-EN-002,Candidate,English,Looking for job,"Understood. You can upload your existing resume or download our resume template. AI will help organize your profile, and consultants will review it manually.","I’m Looking for a Job","Do not promise a job."
CS-EN-003,Employer,English,Wants to hire,"Understood. You can upload a JD or download our hiring request template. Boss Hiring consultants will confirm role details and cooperation rules before matching candidates.","I Want to Hire","Do not quote unconfirmed fees."
CS-EN-004,Privacy,English,Asks privacy,"Boss Hiring protects candidate and company information. Full resumes and contact details are not openly exposed before consultant review and proper process confirmation.","Contact Support","Follow privacy rules."
CS-EN-005,AI,English,Asks AI,"AI assists with summaries, tags, missing information checks, and initial matching suggestions. Final recommendations and interview coordination are still consultant-led.","Contact Support","AI is not final decision maker."
CS-KM-001,Welcome,Khmer,First visit,"សូមស្វាគមន៍មកកាន់ Boss Hiring។ សូមជ្រើសរើសភាសា និងសេវាកម្មពីម៉ឺនុយ។","ជ្រើសរើសភាសា","Keep simple."
CS-KM-002,Candidate,Khmer,Looking for job,"អ្នកអាចផ្ញើ CV ដែលមានស្រាប់ ឬទាញយកគំរូ CV បំពេញរួចផ្ញើឡើងវិញ។","ខ្ញុំចង់រកការងារ","No job guarantee."
CS-KM-003,Employer,Khmer,Wants to hire,"ក្រុមហ៊ុនអាចផ្ញើ JD ឬទាញយកគំរូតម្រូវការជ្រើសរើស។ ទីប្រឹក្សានឹងទាក់ទងបញ្ជាក់លម្អិត។","ក្រុមហ៊ុនចង់ជ្រើសរើស","Confirm details first."
